127.0.0.1, 2016-12-24 18:56:58, GET, /, HTTP/1.1, 303, 0.008000
127.0.0.1, 2016-12-24 18:57:00, GET, /welcome/default/index, HTTP/1.1, 200, 2.365000
127.0.0.1, 2016-12-24 18:57:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 18:57:00, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 18:57:01, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:02, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 18:57:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-12-24 18:57:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-12-24 18:57:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-12-24 18:57:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/default/index, HTTP/1.1, 200, 1.016000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-12-24 18:57:05, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 18:57:06, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:06, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-12-24 18:57:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 18:57:14, POST, /admin/default/index, HTTP/1.1, 200, 1.429000
127.0.0.1, 2016-12-24 18:57:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 18:57:29, POST, /admin/default/index, HTTP/1.1, 200, 2.166000
127.0.0.1, 2016-12-24 18:57:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 18:57:40, POST, /admin/default/index, HTTP/1.1, 303, 0.137000
127.0.0.1, 2016-12-24 18:57:40, GET, /admin/default/site, HTTP/1.1, 200, 0.409000
127.0.0.1, 2016-12-24 18:57:40, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.004000
